A,B,C,D,E,F,H,Counts
0,0,0,0,0,0,0,37
0,0,0,0,1,1,1,22
0,0,0,1,0,1,0,49
0,0,0,1,1,0,1,40
0,0,1,0,0,1,1,36
0,0,1,0,1,0,0,32
0,0,1,1,0,0,1,30
0,0,1,1,1,1,0,31
0,1,0,0,0,1,0,21
0,1,0,0,1,0,1,38
0,1,0,1,0,0,0,31
0,1,0,1,1,1,1,29
0,1,1,0,0,0,1,27
0,1,1,0,1,1,0,30
0,1,1,1,0,1,1,31
0,1,1,1,1,0,0,38
1,0,0,0,0,1,1,36
1,0,0,0,1,0,0,29
1,0,0,1,0,0,1,29
1,0,0,1,1,1,0,22
1,0,1,0,0,0,0,23
1,0,1,0,1,1,1,25
1,0,1,1,0,1,0,35
1,0,1,1,1,0,1,36
1,1,0,0,0,0,1,29
1,1,0,0,1,1,0,27
1,1,0,1,0,1,1,26
1,1,0,1,1,0,0,36
1,1,1,0,0,1,0,32
1,1,1,0,1,0,1,30
1,1,1,1,0,0,0,31
1,1,1,1,1,1,1,32
